id,code,name,currency,number_box,number_pallet,entity,color,usage,model,export,quality,size,weight,tickness,image
209,210711000208,سوکت ترمزدار 110 NEW سفید,عدد,70,15,,سفید,فاضلابی,جدید,False,درجه 1,110,0.205,0,
210,210711000226,سوکت 110 بدون ترمز NEW سفید,عدد,70,15,,سفید,فاضلابی,جدید,False,درجه 1,110,0.195,0,
211,210712500130,سوکت ترمزدار 125 سفید,عدد,48,15,سوکت ترمزدار,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.271,0,
212,210716000131,سوکت ترمزدار 160 سفید,عدد,1,1,سوکت ترمزدار,سفید,فاضلابی,قدیمی,False,درجه 1,160,1.0,0,
213,210809063120,تبدیل 63 * 90 سفید,عدد,96,25,تبدیل,سفید,فاضلابی,قدیمی,False,درجه 1,90,0.159,0,
214,210811063121,تبدیل 63 * 110 سفید,عدد,60,25,تبدیل,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.202,0,
215,210811090122,تبدیل 90 * 110 سفید,عدد,60,25,تبدیل,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.234,0,
216,210812510123,تبدیل 110 * 125 سفید,عدد,60,15,تبدیل,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.25,0,
217,210816010124,تبدیل 110 * 160 سفید,عدد,1,1,تبدیل,سفید,فاضلابی,قدیمی,False,درجه 1,160,1.0,0,
218,210816025125,تبدیل 125 * 160 سفید,عدد,1,1,تبدیل,سفید,فاضلابی,قدیمی,False,درجه 1,160,1.0,0,
219,210906300135,درپوش (گپ) دو کاره کوپله و لوله 63 سفید,عدد,300,25,درپوش,سفید,فاضلابی,قدیمی,False,درجه 1,63,0.045,0,
220,210909000136,درپوش (گپ) دو کاره کوپله و لوله 90 سفید,عدد,180,25,درپوش,سفید,فاضلابی,قدیمی,False,درجه 1,90,0.083,0,
221,210911000137,درپوش (گپ) دو کاره کوپله و لوله 110 سفید,عدد,150,25,درپوش,سفید,فاضلابی,قدیمی,False,درجه 1,110,0.106,0,
222,210912500138,درپوش (گپ) دو کاره کوپله و لوله 125 سفید,عدد,90,25,درپوش,سفید,فاضلابی,قدیمی,False,درجه 1,125,0.183,0,
223,210916000139,درپوش (گپ) دو کاره کوپله و لوله 160 سفید,عدد,1,1,درپوش,سفید,فاضلابی,قدیمی,False,درجه 1,160,1.0,0,
224,211112590166,کلاهک سه کاره سفید,عدد,36,25,کلاهک,طوسی,فاضلابی,قدیمی,False,درجه 1,125,0.34,0,
225,211204045016,زانو 45 * 40 درجه  NEW دو سر کوپل سفید,عدد,400,25,,سفید,فاضلابی,جدید,False,درجه 1,40,0.043,0,
226,211204090034,زانو 90 * 40 دو سر کوپل سفید,عدد,350,25,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,40,0.055,0,
227,211205045020,زانو 90 * 50 درجه دو سر کوپل سفید,عدد,200,25,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,50,0.069,0,
228,211205045038,زانو 45 * 50 دو سر کوپل سفید,عدد,230,25,,سفید,فاضلابی,دو سرکوپل,False,درجه 1,50,0.056,0,
229,211206345176,زانو 45 * 63 درجه دو سر کوپله سفید,عدد,90,25,,سفید,فاضلابی,دو سرکوپل,False,درجه 1,63,0.16,0,
230,211206390181,زانو 90 * 63 درجه دوسر کوپله سفید,عدد,80,25,,سفید,فاضلابی,دو سرکوپل,False,درجه 1,63,0.144,0,
231,211209045177,زانو 45 * 90 درجه دو سر کوپله سفید,عدد,36,25,,سفید,فاضلابی,دو سرکوپل,False,درجه 1,90,0.22,0,
232,211209090182,زانو 90 * 90درجه دوسر کوپله سفید,عدد,1,1,,سفید,فاضلابی,دو سرکوپل,False,درجه 1,90,1.0,0,
233,211211045178,زانو 45 * 110 درجه دو سر کوپله سفید,عدد,45,15,,سفید,فاضلابی,دو سرکوپل,False,درجه 1,110,0.33,0,
234,211211090042,زانو 90 * 110 دوسر کوپل سفید,عدد,1,1,زانو,سفید,فاضلابی,قدیمی,False,درجه 1,110,1.0,0,
235,211304090032,سه راهی 90 * 40 درجه سه سر کوپل سفید,عدد,200,25,,سفید,فاضلابی,سه سر کوپل,False,درجه 1,40,0.07,0,
236,211305045055,سه راهی 45 * 50 درجه سه سر کوپل سفید,عدد,100,25,,سفید,فاضلابی,سه سر کوپل,False,درجه 1,50,0.16,0,
237,211305090044,سه راهی سه سر کوپل 90 * 50 درجه سفید,عدد,130,25,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,50,0.095,0,
238,211306345153,سه راهی  45 * 63درجه سه سر کوپل سفید,عدد,46,25,,سفید,فاضلابی,سه سر کوپل,False,درجه 1,63,0.252,0,
239,211306390163,سه راهی  90 * 63 درجه 3 سر کوپل سفید,عدد,50,25,سه راهی,سفید,فاضلابی,قدیمی,False,درجه 1,63,0.205,0,
